Year,Humanities,Social Sciences,Sciences & Technology
1976,13541,21385,29131
1977,13120,22466,30044
1978,13171,23282,30655
1979,13178,24595,34114
1980,12362,24527,35699
1981,11798,25274,38056
1982,12402,27069,40542
1983,12939,27929,43821
1984,13741,28940,47219
1985,15419,31088,50679
1986,15739,31399,52700
1987,15441,31549,55252
1988,13745,33690,58241
1989,15767,34729,63817
1990,19167,37886,72140
1991,19257,43795,81302
1992,19787,47098,89715
1993,20603,52837,99409
1994,20908,54807,105455
1995,21024,58808,109731
1996,21413,62240,112731
1997,29303,66859,119250
1998,25549,73069,126012
1999,29463,82429,135998
2000,33137,87762,145662
2001,37791,99194,159899
2002,42089,110361,166417
2003,44498,112261,165049
2004,47393,120195,169277
2005,47284,116924,160898
2006,48203,116642,160429
2007,49058,116502,157980
2008,48866,116277,152019
2009,49573,115053,150413
2010,50171,115114,147926
2011,50734,116034,148796
2012,51158,114886,143289
2013,50332,118772,141937
2014,51454,119946,138449
2015,52111,121773,135393
2016,52761,117697,134191
2017,53903,117475,133541
2018,53712,115243,132215
2019,51426,107863,125373
2020,51286,107186,125942
